t,data0,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,data1,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,data2,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
87,29952960,17697843,25459024,30964391,31487938,31388828,31154754,30905764,30675105,66039520,12969114,23413901,43956209,58479243,64907368,65995609,66381023,66490234,0,0,0,0,0,0,0,0,0,
88,28239680,17803261,25514637,30828155,31163112,30758998,30280231,29839330,29457392,65848640,13497909,24262595,45050830,59216182,65095622,65951518,66168069,66169437,0,0,0,0,0,0,0,0,0,
89,30428480,17929513,25612913,30808171,31089648,30692894,30324705,30074990,29942936,67278240,14035712,25122907,46162200,60022387,65532145,66349534,66612137,66723838,0,0,0,0,0,0,0,0,0,
90,34036800,18090585,25781390,30969602,31384363,31361675,31438333,31659714,31989868,59885440,14494209,25818157,46848362,60008692,64402804,64410305,63921458,63304639,0,0,0,0,0,0,0,0,0,
91,28122240,18190901,25828207,30827233,31058150,30713788,30443505,30244724,30056054,58816800,14937434,26478129,47446783,59889502,63285603,62732253,61879594,61060719,0,0,0,0,0,0,0,0,0,
92,33904160,18348033,25989726,30981079,31342751,31351862,31481701,31708498,31980107,70443360,15492493,27357433,48596611,60944887,64717154,65045585,65305100,65752039,0,0,0,0,0,0,0,0,0,
93,30193600,18466488,26073803,30941705,31227835,31120209,31095270,31102538,31086853,56121600,15898784,27932716,48972860,60462558,62998043,62368389,61631700,60936819,0,0,0,0,0,0,0,0,0,
94,31368000,18595503,26179686,30963019,31241851,31169767,31177089,31208722,31227426,59189760,16331693,28557856,49483705,60335278,62236386,61414800,60654924,60063289,0,0,0,0,0,0,0,0,0,
95,31949440,18729042,26295081,31012340,31312609,31325701,31408794,31505009,31588433,65837120,16826747,29303441,50301375,60885462,62956532,62741496,62727802,62950204,0,0,0,0,0,0,0,0,0,
96,30064640,18842397,26370472,30964955,31187812,31073488,31005547,30928861,30826536,44932640,17107805,29616024,50032938,59290179,59351753,57398839,55609737,53941422,0,0,0,0,0,0,0,0,0,
97,29932000,18953293,26441702,30913307,31062230,30845190,30683482,30530116,30379268,50329120,17440018,30030285,50047747,58394073,57547226,55277923,53497490,52135271,0,0,0,0,0,0,0,0,0,
98,31768640,19081446,26548240,30956073,31132871,31029880,31009029,31025525,31073954,40070880,17666326,30231096,49548903,56561753,54051956,50715810,48126846,46103075,0,0,0,0,0,0,0,0,0,
99,31971200,19210343,26656699,31006829,31216703,31218144,31297680,31403795,31522577,49677120,17986433,30620016,49555313,55873289,53176988,50404203,48746955,47890097,0,0,0,0,0,0,0,0,0,
100,31127360,19329513,26746112,31012855,31207768,31199987,31246584,31293221,31324968,53649600,18343064,31080607,49760027,55650920,53271510,51377822,50708013,50769848,0,0,0,0,0,0,0,0,0,
101,30064640,19436864,26812482,30965444,31093455,30972917,30892000,30801788,30694804,62516800,18784801,31709330,50397865,56337508,55120568,54719515,55431527,56643324,0,0,0,0,0,0,0,0,0,
102,29242560,19534920,26861083,30879299,30908365,30626845,30397168,30178096,29968682,76453440,19361487,32604212,51700643,58349101,59387142,61239692,63840292,66548382,0,0,0,0,0,0,0,0,0,
103,30525120,19644822,26934363,30861590,30870040,30606500,30435553,30316905,30246901,57075840,19738630,33093644,51969402,58221774,58924881,59990536,61134511,61812111,0,0,0,0,0,0,0,0,0,
104,26776320,19716136,26931202,30657326,30460668,29840464,29337783,28900671,28511610,59944480,20140688,33630660,52368155,58394044,59128800,59976719,60658498,60878295,0,0,0,0,0,0,0,0,0,
105,35243520,19871409,27097448,30886635,30938953,30921075,31109504,31437810,31877565,57897920,20518260,34116005,52644643,58344431,58882624,59353079,59554266,59388107,0,0,0,0,0,0,0,0,0,
106,31187040,19984565,27179239,30901655,30963761,30974268,31132764,31337502,31532302,77090720,21083984,34975499,53866946,60219059,62524243,64674371,66568847,68239413,0,0,0,0,0,0,0,0,0,
107,29760640,20082325,27230867,30844604,30843448,30731542,30721126,30706757,30646471,60930880,21482452,35494606,54220142,60290241,62205570,63551323,64313660,64585146,0,0,0,0,0,0,0,0,0,
108,32590720,20207408,27338064,30931909,31018175,31103377,31282004,31460342,31618595,86480320,22132430,36514320,55833150,62909248,67060520,70430022,73180324,75532733,0,0,0,0,0,0,0,0,0,
109,32066880,20326002,27432640,30988657,31123045,31296077,31517466,31702957,31842737,66717440,22578280,37118382,56377364,63290067,66991904,69316247,70595170,71125086,0,0,0,0,0,0,0,0,0,
110,31223840,20434980,27508464,31000416,31133124,31281629,31429378,31511310,31533288,49166240,22844159,37359339,56016807,61877684,63426771,63271244,62023598,60145663,0,0,0,0,0,0,0,0,0,
111,30332800,20533958,27564950,30967035,31053091,31091863,31100404,31039906,30933044,54242560,23158143,37697003,55928094,61114171,61589928,60562638,58911182,57194111,0,0,0,0,0,0,0,0,0,
112,29061920,20619237,27594889,30871779,30853973,30685874,30488858,30248711,29997482,59051680,23517078,38124096,56084273,60907921,61082278,60109350,58967381,58122895,0,0,0,0,0,0,0,0,0,
113,31058240,20723627,27664156,30881102,30874399,30760347,30659672,30572522,30527861,70208480,23983992,38765783,56790483,61837976,62907518,63139089,63463820,64165687,0,0,0,0,0,0,0,0,0,
114,33503520,20851425,27780943,31012222,31137311,31308981,31512826,31744921,32015690,60461120,24348763,39199689,56974014,61700290,62418238,62335698,62262740,62313403,0,0,0,0,0,0,0,0,0,
115,31166400,20954574,27848652,31019930,31140219,31280464,31408898,31513512,31591045,81744000,24922715,40050575,58212513,63704661,66283390,68158188,70055244,72028701,0,0,0,0,0,0,0,0,0,
116,30209600,21047124,27895870,30979413,31047157,31066291,31049108,30991947,30900322,60996000,25283447,40469483,58351687,63433794,65225912,66009531,66431546,66512350,0,0,0,0,0,0,0,0,0,
117,29643040,21133083,27930813,30912594,30906745,30781640,30627287,30452384,30271681,56488640,25595498,40789866,58258534,62739278,63478457,63153263,62454383,61500495,0,0,0,0,0,0,0,0,0,
118,32648320,21248235,28025163,30999380,31080902,31154976,31233596,31330758,31460000,62595520,25965498,41225979,58475383,62724902,63301869,62985940,62510837,62048007,0,0,0,0,0,0,0,0,0,
119,31880320,21354555,28102266,31043427,31160843,31300044,31427613,31550582,31670160,62569280,26331535,41652845,58680077,62709339,63155351,62860942,62534214,62308643,0,0,0,0,0,0,0,0,0,
120,33118080,21472190,28202582,31147159,31356566,31663651,31934753,32177581,32394120,78114880,26849368,42382085,59651817,64249893,66147256,67437123,68766480,70211761,0,0,0,0,0,0,0,0,0,
121,34693120,21604399,28332392,31324457,31690221,32269544,32762263,33183796,33543620,45284960,27033723,42440142,58933474,62353399,61974796,60791474,59373872,57748360,0,0,0,0,0,0,0,0,0,
122,28603520,21674390,28337814,31188410,31381550,31536339,31514640,31351685,31073570,53617440,27299560,42663687,58667672,61479803,60303324,58639263,57071299,55682900,0,0,0,0,0,0,0,0,0,
123,33358720,21791233,28438232,31296925,31579267,31900815,32067864,32154499,32216145,60114560,27627710,43012704,58740016,61343278,60265571,59081852,58288603,57898730,0,0,0,0,0,0,0,0,0,
124,28474560,21858066,28438958,31155806,31268796,31215564,30989872,30682523,30345352,76923200,28120664,43690913,59649175,62901270,63597096,64434256,65742441,67410965,0,0,0,0,0,0,0,0,0,
125,32413440,21963619,28518447,31218687,31383260,31455139,31416942,31374889,31379396,55085120,28390308,43918797,59420972,62119655,61894700,61629515,61479512,61248042,33545600,335456,670912,1677280,3354560,6709120,10063680,13418240,16772800,
