EWMA: using alpha list [0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.4, 0.5]
Select pair [0-0] : Selected port pair (3630, 3633)
t,data,a0.01,a0.02,a0.05,a0.1,a0.2,a0.3,a0.4,a0.5,
163,11188800,8435814,10125946,10396881,10215851,10112266,10166958,10276881,10405563,
164,10691520,8458371,10137257,10411612,10263417,10228116,10324326,10442736,10548541,
165,9572640,8469513,10125964,10369663,10194339,10097020,10098820,10094697,10060590,
166,9945600,8484273,10122356,10348459,10169465,10066736,10052854,10035058,10003095,
167,10318560,8502615,10126280,10346964,10184374,10117100,10132565,10148458,10160827,
168,9945600,8517044,10122666,10326895,10160496,10082800,10076475,10067314,10053213,
169,10815840,8540031,10136529,10351342,10226030,10229408,10298284,10366724,10434526,
170,13675200,8591382,10207302,10517534,10570947,10918566,11311358,11690114,12054863,
171,11686080,8622328,10236877,10575961,10682460,11072068,11423774,11688500,11870471,
172,11934720,8655451,10270833,10643898,10807686,11244598,11577057,11786988,11902595,
173,8951040,8658406,10244437,10559255,10622021,10785886,10789251,10652608,10426817,
174,10567200,8677493,10250892,10559652,10616538,10742148,10722635,10618444,10497008,
175,10940160,8700119,10264677,10578677,10648900,10781750,10787892,10747130,10718584,
176,10567200,8718789,10270727,10578103,10640730,10738840,10721684,10675158,10642892,
177,10567200,8737273,10276656,10577557,10633377,10704512,10675338,10631974,10605046,
178,9945600,8749356,10270034,10545959,10564599,10552729,10456416,10357424,10275323,
179,11810400,8779966,10300841,10609181,10689179,10804263,10862611,10938614,11042861,
180,11561760,8807783,10326059,10656809,10776437,10955762,11072355,11187872,11302310,
181,11064480,8830349,10340827,10677192,10805241,10977505,11069992,11138515,11183395,
182,12929280,8871338,10392596,10789796,11017644,11367860,11627778,11854821,12056337,
183,10442880,8887053,10393601,10772450,10960167,11182864,11272308,11290044,11249608,
184,10442880,8902611,10394586,10755971,10908438,11034867,11023479,10951178,10846244,
185,7956480,8893149,10345823,10615996,10613242,10419189,10103379,9753298,9401362,
186,10815840,8912375,10355223,10625988,10633501,10498519,10317117,10178314,10108601,
